This is a non-optimized list of packages needed to compile and run
Astrometry.net under Cygwin. Many of the packages are automatically installed
dependencies of the necessary packages.

For more instructions see this blog-post:

http://www.carpephoton.com/index.php?option=com_content&view=article&id=16:compiling-astrometrynet-under-cygwin&catid=6:tech&Itemid=13

and the astrometry.net discussion forums for up-to-date information on newer
versions.

$ cygcheck -c
Cygwin Package Information
Package                        Version             Status
_update-info-dir               00918-1             OK
alternatives                   1.3.30c-10          OK
atk                            1.26.0-1            OK
autoconf                       9-1                 OK
autoconf2.1                    2.13-10             OK
autoconf2.5                    2.67-1              OK
automake                       4-10                OK
automake1.10                   1.10.3-1            OK
automake1.11                   1.11.1-1            OK
automake1.4                    1.4p6-10            OK
automake1.5                    1.5-10              OK
automake1.6                    1.6.3-11            OK
automake1.7                    1.7.9-10            OK
automake1.8                    1.8.5-10            OK
automake1.9                    1.9.6-10            OK
base-cygwin                    2.1-1               OK
base-files                     3.9-3               OK
base-passwd                    3.1-1               OK
bash                           3.2.51-24           OK
binutils                       2.20.51-2           OK
bzip2                          1.0.5-10            OK
compositeproto                 0.4.1-1             OK
coreutils                      8.5-2               OK
crypt                          1.1-1               OK
csih                           0.9.1-1             OK
cygutils                       1.4.4-1             OK
cygwin                         1.7.7-1             OK
cygwin-doc                     1.7-1               OK
damageproto                    1.2.0-1             OK
dash                           0.5.6.1-2           OK
dbus                           1.2.24-1            OK
diffutils                      2.9-1               OK
editrights                     1.01-2              OK
file                           5.04-1              OK
findutils                      4.5.9-1             OK
fixesproto                     4.1.1-1             OK
gamin                          0.1.10-11           OK
gawk                           3.1.8-1             OK
gcc-core                       3.4.4-999           OK
gcc-g++                        3.4.4-999           OK
gcc-mingw-core                 20050522-1          OK
gcc-mingw-g++                  20050522-1          OK
gcc-tools-epoch1-autoconf      2.59-1              OK
gcc-tools-epoch1-automake      1.9.6-1             OK
gcc-tools-epoch2-autoconf      2.64-1              OK
gcc-tools-epoch2-automake      1.11.1-1            OK
GConf2                         2.28.1-1            OK
gettext                        0.17-11             OK
ghostscript                    8.63-2              OK
ghostscript-fonts-other        6.0-1               OK
ghostscript-fonts-std          8.11-1              OK
girepository-GLib2.0           0.6.14-1            OK
glib                           1.2.10-10           OK
glproto                        1.4.11-1            OK
gnome-icon-theme               2.30.3-1            OK
gnome-keyring                  2.30.3-1            OK
gnome-mime-data                2.18.0-10           OK
gnome-vfs2                     2.24.3-1            OK
gnutls-devel                   2.8.6-1             OK
grep                           2.6.3-1             OK
groff                          1.20.1-2            OK
gtk2-x11-runtime               2.16.5-1            OK
gzip                           1.3.12-2            OK
hicolor-icon-theme             0.12-1              OK
inputproto                     2.0-1               OK
ipc-utils                      1.0-1               OK
kbproto                        1.0.4-1             OK
less                           436-1               OK
libart_lgpl_2-devel            2.3.21-1            OK
libart_lgpl_2_2                2.3.21-1            OK
libatk1.0-devel                1.30.0-1            OK
libatk1.0_0                    1.30.0-1            OK
libattr1                       2.4.43-1            OK
libaudiofile-devel             0.2.7-1             OK
libaudiofile0                  0.2.7-1             OK
libbonobo2                     2.24.3-1            OK
libbonobo2-devel               2.24.3-1            OK
libbonobo2_0                   2.24.3-1            OK
libbonoboui2                   2.24.3-1            OK
libbonoboui2-devel             2.24.3-1            OK
libbonoboui2_0                 2.24.3-1            OK
libbz2-devel                   1.0.5-10            OK
libbz2_1                       1.0.5-10            OK
libcairo-devel                 1.8.10-1            OK
libcairo2                      1.8.10-1            OK
libcharset1                    1.13.1-1            OK
libcroco0.6                    0.6.2-10            OK
libcroco0.6-devel              0.6.2-10            OK
libcroco0.6_3                  0.6.2-10            OK
libdb4.5                       4.5.20.2-2          OK
libdbus-glib_1-devel           0.86-1              OK
libdbus-glib_1_2               0.86-1              OK
libdbus1-devel                 1.2.24-1            OK
libdbus1_3                     1.2.24-1            OK
libesd-devel                   0.2.41-10           OK
libesd0                        0.2.41-10           OK
libesound0                     0.2.41-1            OK
libexpat1                      2.0.1-1             OK
libexpat1-devel                2.0.1-1             OK
libfam0                        0.1.10-11           OK
libffi4                        4.3.4-3             OK
libfontconfig-devel            2.8.0-1             OK
libfontconfig1                 2.8.0-1             OK
libfreetype-devel              2.3.12-1            OK
libfreetype6                   2.3.12-1            OK
libgailutil-devel              2.20.1-1            OK
